company_id	ticker	canonical_input	taxonomy_namespace	taxonomy_concept	disposition	accounting_perimeter	observed_records	active_annual_sources	source_forms	reason_code	professional_review_status
sec-cik:0000320193	AAPL	revenue	us-gaap	SalesRevenueNet	rejected	unreviewed	210	0	10-K,10-K/A,10-Q,8-K	unreviewed_issuer_specific_concept	not_submitted_for_review
sec-cik:0000320193	AAPL	stockholders_equity	us-gaap	StockholdersEquity	canonical	consolidated_periodic_filing	258	2	10-K,10-K/A,10-Q,8-K	canonical_us_gaap_concept	not_required_for_exact_canonical_mapping
sec-cik:0000320193	AAPL	total_assets	us-gaap	Assets	canonical	consolidated_periodic_filing	144	2	10-K,10-K/A,10-Q,8-K	canonical_us_gaap_concept	not_required_for_exact_canonical_mapping
sec-cik:0000320193	AAPL	total_liabilities	us-gaap	Liabilities	canonical	consolidated_periodic_filing	142	2	10-K,10-K/A,10-Q,8-K	canonical_us_gaap_concept	not_required_for_exact_canonical_mapping
sec-cik:0000723125	MU	capital_expenditure	us-gaap	PaymentsToAcquirePropertyPlantAndEquipment	canonical	consolidated_periodic_filing	149	2	10-K,10-Q,8-K	canonical_us_gaap_concept	not_required_for_exact_canonical_mapping
sec-cik:0000723125	MU	net_income	us-gaap	NetIncomeLoss	canonical	consolidated_periodic_filing	336	2	10-K,10-Q,8-K	canonical_us_gaap_concept	not_required_for_exact_canonical_mapping
sec-cik:0000723125	MU	operating_cash_flow	us-gaap	NetCashProvidedByUsedInOperatingActivities	canonical	consolidated_periodic_filing	107	2	10-K,10-Q	canonical_us_gaap_concept	not_required_for_exact_canonical_mapping
sec-cik:0000723125	MU	operating_income	us-gaap	OperatingIncomeLoss	canonical	consolidated_periodic_filing	309	2	10-K,10-Q,8-K	canonical_us_gaap_concept	not_required_for_exact_canonical_mapping
sec-cik:0000723125	MU	revenue	us-gaap	RevenueFromContractWithCustomerExcludingAssessedTax	canonical	consolidated_periodic_filing	117	2	10-K,10-Q	canonical_us_gaap_concept	not_required_for_exact_canonical_mapping
sec-cik:0000723125	MU	revenue	us-gaap	Revenues	rejected	unreviewed	11	0	10-K	unreviewed_issuer_specific_concept	not_submitted_for_review
sec-cik:0000723125	MU	revenue	us-gaap	SalesRevenueNet	rejected	unreviewed	181	0	10-K,10-Q,8-K	unreviewed_issuer_specific_concept	not_submitted_for_review
sec-cik:0000723125	MU	stockholders_equity	us-gaap	StockholdersEquity	canonical	consolidated_periodic_filing	200	2	10-K,10-Q,8-K	canonical_us_gaap_concept	not_required_for_exact_canonical_mapping
sec-cik:0000723125	MU	total_assets	us-gaap	Assets	canonical	consolidated_periodic_filing	132	2	10-K,10-Q,8-K	canonical_us_gaap_concept	not_required_for_exact_canonical_mapping
sec-cik:0000723125	MU	total_liabilities	us-gaap	Liabilities	canonical	consolidated_periodic_filing	132	2	10-K,10-Q,8-K	canonical_us_gaap_concept	not_required_for_exact_canonical_mapping
sec-cik:0000789019	MSFT	capital_expenditure	us-gaap	PaymentsToAcquirePropertyPlantAndEquipment	canonical	consolidated_periodic_filing	227	2	10-K,10-Q,10-Q/A,8-K	canonical_us_gaap_concept	not_required_for_exact_canonical_mapping
sec-cik:0000789019	MSFT	net_income	us-gaap	NetIncomeLoss	canonical	consolidated_periodic_filing	337	2	10-K,10-Q,10-Q/A,8-K	canonical_us_gaap_concept	not_required_for_exact_canonical_mapping
sec-cik:0000789019	MSFT	operating_cash_flow	us-gaap	NetCashProvidedByUsedInOperatingActivities	canonical	consolidated_periodic_filing	167	2	10-K,10-Q,10-Q/A,8-K	canonical_us_gaap_concept	not_required_for_exact_canonical_mapping
sec-cik:0000789019	MSFT	operating_income	us-gaap	OperatingIncomeLoss	canonical	consolidated_periodic_filing	275	2	10-K,10-Q,10-Q/A,8-K	canonical_us_gaap_concept	not_required_for_exact_canonical_mapping
sec-cik:0000789019	MSFT	revenue	us-gaap	RevenueFromContractWithCustomerExcludingAssessedTax	canonical	consolidated_periodic_filing	131	2	10-K,10-Q,8-K	canonical_us_gaap_concept	not_required_for_exact_canonical_mapping
sec-cik:0000789019	MSFT	revenue	us-gaap	Revenues	rejected	unreviewed	31	0	10-K,10-Q	unreviewed_issuer_specific_concept	not_submitted_for_review
sec-cik:0000789019	MSFT	revenue	us-gaap	SalesRevenueNet	rejected	unreviewed	173	0	10-K,10-Q,10-Q/A,8-K	unreviewed_issuer_specific_concept	not_submitted_for_review
sec-cik:0000789019	MSFT	stockholders_equity	us-gaap	StockholdersEquity	canonical	consolidated_periodic_filing	210	2	10-K,10-Q,10-Q/A,8-K	canonical_us_gaap_concept	not_required_for_exact_canonical_mapping
sec-cik:0000789019	MSFT	total_assets	us-gaap	Assets	canonical	consolidated_periodic_filing	140	2	10-K,10-Q,10-Q/A,8-K	canonical_us_gaap_concept	not_required_for_exact_canonical_mapping
sec-cik:0000789019	MSFT	total_liabilities	us-gaap	Liabilities	canonical	consolidated_periodic_filing	132	2	10-K,10-Q,10-Q/A,8-K	canonical_us_gaap_concept	not_required_for_exact_canonical_mapping
sec-cik:0000796343	ADBE	capital_expenditure	us-gaap	PaymentsToAcquirePropertyPlantAndEquipment	canonical	consolidated_periodic_filing	155	2	10-K,10-Q	canonical_us_gaap_concept	not_required_for_exact_canonical_mapping
sec-cik:0000796343	ADBE	net_income	us-gaap	NetIncomeLoss	canonical	consolidated_periodic_filing	313	2	10-K,10-Q	canonical_us_gaap_concept	not_required_for_exact_canonical_mapping
sec-cik:0000796343	ADBE	operating_cash_flow	us-gaap	NetCashProvidedByUsedInOperatingActivities	canonical	consolidated_periodic_filing	155	2	10-K,10-Q	canonical_us_gaap_concept	not_required_for_exact_canonical_mapping
sec-cik:0000796343	ADBE	operating_income	us-gaap	OperatingIncomeLoss	canonical	consolidated_periodic_filing	225	2	10-K,10-Q	canonical_us_gaap_concept	not_required_for_exact_canonical_mapping
sec-cik:0000796343	ADBE	revenue	us-gaap	Revenues	reviewed_alias	consolidated_periodic_filing	313	2	10-K,10-Q	issuer_specific_revenue_alias	pending_named_professional_disposition
sec-cik:0000796343	ADBE	stockholders_equity	us-gaap	StockholdersEquity	canonical	consolidated_periodic_filing	248	2	10-K,10-Q	canonical_us_gaap_concept	not_required_for_exact_canonical_mapping
sec-cik:0000796343	ADBE	total_assets	us-gaap	Assets	canonical	consolidated_periodic_filing	138	2	10-K,10-Q	canonical_us_gaap_concept	not_required_for_exact_canonical_mapping
sec-cik:0000796343	ADBE	total_liabilities	us-gaap	Liabilities	canonical	consolidated_periodic_filing	138	2	10-K,10-Q	canonical_us_gaap_concept	not_required_for_exact_canonical_mapping
sec-cik:0000804328	QCOM	capital_expenditure	us-gaap	PaymentsToAcquireProductiveAssets	context_only	company_reported_cash_capital_expenditures	156	2	10-K,10-K/A,10-Q	company_reported_capex_scope_not_proven_equivalent_to_ppe	pending_named_professional_disposition
sec-cik:0000804328	QCOM	net_income	us-gaap	NetIncomeLoss	canonical	consolidated_periodic_filing	281	2	10-K,10-K/A,10-Q	canonical_us_gaap_concept	not_required_for_exact_canonical_mapping
sec-cik:0000804328	QCOM	operating_cash_flow	us-gaap	NetCashProvidedByUsedInOperatingActivities	canonical	consolidated_periodic_filing	139	2	10-K,10-K/A,10-Q	canonical_us_gaap_concept	not_required_for_exact_canonical_mapping
sec-cik:0000804328	QCOM	operating_income	us-gaap	OperatingIncomeLoss	canonical	consolidated_periodic_filing	319	2	10-K,10-K/A,10-Q	canonical_us_gaap_concept	not_required_for_exact_canonical_mapping
sec-cik:0000804328	QCOM	revenue	us-gaap	Revenues	reviewed_alias	consolidated_periodic_filing	319	2	10-K,10-K/A,10-Q	issuer_specific_revenue_alias	pending_named_professional_disposition
